address,kind,depth,title,source_line,note
2080/13b,b,5,Black psychology,889,
2080/14,b,4,Developmental psychology,890,
2080/15,b,4,Differential psychology,891,
2080/16,b,4,Ecological psychology,892,
2080/17,b,4,Educational psychology,893,
2080/18,b,4,Environmental psychology,894,
2080/19,b,4,Evolutionary psychology,895,
2080/20,b,4,Experimental psychology,896,
2080/21,b,4,Group psychology,897,
2080/22,b,4,Family psychology,898,
2080/23,b,4,Feminine psychology,899,
2080/24,b,4,Forensic developmental psychology,900,
2080/25,b,4,Forensic psychology,901,
2080/26,b,4,Health psychology,902,
2080/27,b,4,Humanistic psychology,903,
2080/28,b,4,Indigenous psychology,904,
2080/29,b,4,Legal psychology,905,
2080/30,b,4,Mathematical psychology,906,
2080/31,b,4,Media psychology,907,
2080/32,b,4,Medical psychology,908,
2080/33,b,4,Military psychology,909,
2080/34,b,4,Moral psychology and Descriptive ethics,910,
2080/35,b,4,Music psychology,911,
2080/36,b,4,Neuropsychology,912,
2080/37,b,4,Occupational health psychology,913,
2080/38,b,4,Occupational psychology,914,
2080/39,b,4,"Organizational psychology (a.k.a., Industrial Psychology)",915,
2080/40,b,4,Parapsychology,916,
2080/41,b,4,Pediatric psychology,917,
2080/42,b,4,Pedology (children study),918,
2080/43,b,4,Personality psychology,919,
2080/44,b,4,Phenomenology,920,
2080/45,b,4,Political psychology,921,
2080/46,b,4,Positive psychology,922,
2080/47,b,4,Problem solving,923,
2080/48,b,4,Psychoanalysis,924,
2080/49,b,4,Psychobiology,925,
2080/50,b,4,Psychology of religion,926,
2080/51,b,4,Psychometrics,927,
2080/52,b,4,Psychopathology,928,
2080/52a,b,5,Child psychopathology,929,
2080/53,b,4,Psychophysics,930,
2080/54,b,4,Quantitative psychology,931,
2080/55,b,4,Rehabilitation psychology,932,
2080/56,b,4,School psychology,933,
2080/57,b,4,Social psychology,934,
2080/58,b,4,Sport psychology,935,
2080/59,b,4,Traffic psychology,936,
2080/60,b,4,Transpersonal psychology,937,
2080/61,b,4,Travel psychology,938,
2090,h,1,Sociology,940,
2090/1,b,4,Analytical sociology,942,
2090/2,b,4,Applied sociology,943,
2090/2a,b,5,Leisure studies,944,
2090/2b,b,5,Political sociology,945,
2090/2c,b,5,Public sociology,946,
2090/2d,b,5,Social engineering,947,
2090/3,b,4,Architectural sociology,948,
2090/4,b,4,Area studies,949,
2090/4a,b,5,African studies,950,
2090/4b,b,5,American studies,951,
2090/4b1,b,6,Appalachian studies,952,
2090/4b2,b,6,Canadian studies,953,
2090/4b3,b,6,Latin American studies,954,
2090/4c,b,5,Asian studies,955,
2090/4c1,b,6,Central Asian studies,956,
2090/4c2,b,6,East Asian studies,957,
2090/4c3,b,6,Filipinology,958,
2090/4c4,b,6,Iranian studies,959,
2090/4c5,b,6,Japanese studies,960,
2090/4c6,b,6,Korean studies,961,
2090/4c7,b,6,Sinology,962,
2090/4c8,b,6,Indology (South Asian studies),963,
2090/4c8a,b,7,Bengal studies,964,
2090/4c8b,b,7,Dravidian studies (Dravidology),965,
2090/4c8c,b,7,Tamilology,966,
2090/4c8d,b,7,Pakistan studies,967,
2090/4c8e,b,7,Sindhology,968,
2090/4c9,b,6,Southeast Asian studies,969,
2090/4c10,b,6,Thai studies,970,
2090/4d,b,5,Australian studies,971,
2090/4e,b,5,European studies,972,
2090/4e1,b,6,Celtic studies,973,
2090/4e2,b,6,German studies,974,
2090/4e3,b,6,Sociology in Poland,975,
2090/4e4,b,6,Scandinavian studies,976,
2090/4e5,b,6,Slavic studies,977,
2090/4f,b,5,Middle Eastern studies,978,
2090/4f1,b,6,Arab studies,979,
2090/4f2,b,6,Assyriology,980,
2090/4f3,b,6,Egyptology,981,
2090/4f4,b,6,Jewish studies,982,
2090/5,b,4,Behavioral sociology,983,
2090/6,b,4,Chinese sociology,984,
2090/7,b,4,Collective behavior,985,
2090/7a,b,5,Social movements,986,
2090/7b,b,5,Activism,987,
2090/8,b,4,Social phenomenon,988,
2090/9,b,4,Community informatics,989,
2090/9a,b,5,Social network analysis,990,
2090/10,b,4,Comparative sociology,991,
2090/11,b,4,Conflict theory,992,
2090/12,b,4,Criminology/Criminal justice,993,
2090/13,b,4,Critical management studies,994,
2090/14,b,4,Critical sociology,995,
2090/15,b,4,Cultural sociology,996,
2090/16,b,4,Cultural studies/ethnic studies,997,
2090/16a,b,5,Africana studies,998,
2090/16b,b,5,Cross-cultural studies,999,
2090/16c,b,5,Culturology,1000,
2090/16d,b,5,Deaf studies,1001,
2090/16e,b,5,Ethnology,1002,
2090/16f,b,5,Utopian studies,1003,
2090/16g,b,5,Whiteness studies,1004,
2090/17,b,4,Demography/Population,1005,
2090/18,b,4,Digital sociology,1006,
2090/19,b,4,Dramaturgical sociology,1007,
2090/20,b,4,Economic sociology,1008,
2090/21,b,4,Educational sociology,1009,
2090/22,b,4,Empirical sociology,1010,
2090/23,b,4,Environmental sociology,1011,
2090/24,b,4,Evolutionary sociology,1012,
2090/25,b,4,Feminist sociology,1013,
2090/26,b,4,Figurational sociology,1014,
2090/27,b,4,Futures studies,1015,
2090/28,b,4,Gender studies,1016,
2090/28a,b,5,Men's studies,1017,
2090/28b,b,5,Women's studies,1018,
2090/28c,b,5,Queer studies,1019,
2090/29,b,4,Historical sociology,1020,
2090/30,b,4,Human ecology,1021,
2090/31,b,4,Humanistic sociology,1022,
2090/32,b,4,Industrial sociology,1023,
2090/33,b,4,Interactionism,1024,
2090/34,b,4,Interpretive sociology,1025,
2090/34a,b,5,Ethnomethodology,1026,
2090/34b,b,5,Phenomenology,1027,
2090/34c,b,5,Social constructionism,1028,
2090/34d,b,5,Symbolic interactionism,1029,
2090/35,b,4,Jealousy sociology,1030,
2090/36,b,4,Macrosociology,1031,
2090/37,b,4,Marxist sociology,1032,
2090/38,b,4,Mathematical sociology,1033,
2090/39,b,4,Medical sociology,1034,
2090/40,b,4,Mesosociology,1035,
2090/41,b,4,Microsociology,1036,
2090/42,b,4,Military sociology,1037,
2090/43,b,4,Natural resource sociology,1038,
2090/44,b,4,Organizational theory,1039,
2090/44a,b,5,Organizational studies,1040,
2090/45,b,4,Phenomenological sociology,1041,
2090/46,b,4,Policy sociology,1042,
2090/47,b,4,Postcolonialism,1043,
2090/48,b,4,Psychoanalytic sociology,1044,
2090/49,b,4,Science studies/Science and technology studies,1045,
2090/50,b,4,Sexology,1046,
2090/50a,b,5,Heterosexism,1047,
